Main Category	Sub Category	Sub Category	Sub Category	Sub Category	AIDS Resource Center	Bankruptcy Pro se Clinic for Chapter 7 only	Catholic Charities	Center for Drivers License Recovery	Centro Legal	Civitas	Civil Appeals Help Desk	Disability Rights WI	Dry Hooch brief legal advice for Veterans	ELCA Outreach Center (Kenosha)	Federal pro se civil help line	Free Legal Answers	Kids Matter	Lagmann	Legal Action of WI	Legal Aid Society of MKE	MBA LRIS	Metro Milwaukee Foreclosure Mediation Program	Milwaukee Justice Center Family Forms Clinic	Milwaukee Justice Center Family Law Advice Clinic	Milwaukee Justice Center Parenting Conference	Marquette Volunteer Legal Clinics	Marquette Volunteer Legal Clinic Estate Planning Clinic	Marquette Legal Initiative for Nonprofit Corporations 	Nonprofit Legal Referral Services, Inc.	Public Defender’s Office	Sojourner Family Peace Center	Unemployment Insurance Clinic	Waukesha Bar Referral LRIS	WisBar LRIS
Family & Safety	Divorce	Divorce not filed yet	Need legal advice about child custody, placement, or support						X							x		X						x		x			x					
			Need help starting or finishing paperwork						X							x		X					x						x					
			Need advice about property division						X							x		X						x		x			x					
		Divorce started and currently in progress	Need help finishing paperwork						X									X					x						x					
			Need legal advice about child custody, placement, or support						X							x		X						x		x			x					
			Need advice about property division						X							x		X						x		x			x					
		Divorce already over	Need help understanding divorce order						X							x								x		x			x					
			Divorce orders are not being followed by ex-spouse						X							x		X					x	x	x	x			x					
			Need help doing something ordered in the divorce						X							x								x		x			x					
		I need help with separation, annulment, or alimony	I have questions about separation or the annulment of my marriage.						X							x		X						x		x			x					
			I have a problem with alimony or I want to change the amount of alimony payments.						X							x		X					x			x			x					
	Child Support	Need child support but do not receive it	I am or was married to the child's other parent						X	x						x		X					x	x	x	x			x					
			I was never married to the child's other parent	Paternity was established in court					X							x		X					x		x	x			x					
				Paternity was never established in court					X	x						x		X						x		x			x					
				I do not know if paternity was ever established in court					X	x								X					x	x		x			x					
		I pay child support but need to change the amount							X							x							x		x	x			x					
	Child Custody, Placement, or Visitation	I need child custody, placement or visitation							X							x		X					x	x	x	x			x					
		I need to change a court order for child custody, placement or visitation							X							x		X					x		x	x			x					
		My children are in danger of being moved from the state.							X							x		X						x	X	x			x					
	Domestic Violence	I would like to get a restraining order against someone	My case involves domestic violence								x	x				x		X								x			x		x			
			My case does not involve domestic violence													x		X								x			x		x			
		Someone filed a restraining order against me														x		X								x			x					
	Adult Needs Legal Guardian	I would like to be the guardian of an adult														x		X	x							x								
		Someone is filing for guardianship of me																X	x							x								
	Child Needs Legal Guardian																		x					x		x								
	Elderly Abuse 	I need help making myself or my children safe. 																X								x								
	Child Abuse	I need help making my children safe.																X						x		x								
	I have another family issue	I am a grandparent and want to get custody of or visitation with my grandchildren.																X					x	x		x								
		I need help with guardianship.																X						x		x								
		I have questions about paternity.							X							x		X						x		x			x					
		I have a different family problem.	I need help with adoption.															X						x		x								
			I need help with a name change.													x		X					x	x		x								
			I need help with a birth certificate.																				x	x		x								
			I have questions about separation or the annulment of my marriage.						X							x		X						x		x			x					
			I have a different family problem.															X						x		x								
