Main Category	Sub Category	Sub Category	Sub Category	Sub Category	Sub Category	AIDS Resource Center	Bankruptcy Pro se Clinic for Chapter 7 only	Catholic Charities	Center for Drivers License Recovery	Aging and Disability Resource Centers	Centro Legal	Civitas	Civil Appeals Help Desk	Disability Resource Center	Disability Rights WI	Dry Hooch brief legal advice for Veterans	ELCA Outreach Center (Kenosha)	Federal pro se civil help line	Kids Matter	Lagmann	Legal Action of WI	Legal Aid Society of MKE	MBA LRIS	Metro Milwaukee Foreclosure Mediation Program	Milwaukee Justice Center Family Forms Clinic	Milwaukee Justice Cener Family Law Advice Clinic	Milwaukee Justice Center Parenting Conference	Marquette Volunteer Legal Clinics	Marquette Volunteer Legal Clinic Estate Planning Clinic	Marquette Legal Initiative for Nonprofit Corporations 	Nonprofit Legal Services of SE WI	Public Defener’s Office	Sojourner Family Peace Center	Unemployment Insurance Clinic	Waukesha Bar Referral LRIS	WisBar LRIS
Health & Benefits	I need help with benefits programs in WI: W-2 programs, food stamps/SNAP, cash assistance, Medicaid/Title 19, health insurance, unemployment, and more.	I need help with SNAP (food stamps).	I get SNAP now.	DSS says they overpaid me and I owe them money.																	X							x								
				DSS lowered my benefits.																	X															
				I have a problem with my EBT (food stamp) card.																	X															
				I want to know if I'm getting the right amount of food stamps.																	X															
				I have another problem with SNAP.																	X															
			I do NOT get SNAP now.	I want to apply for SNAP.																																
				I want to apply for emergency food stamps (Expedited SNAP).																	X															
				I've already applied for SNAP.	I have applied for SNAP but haven't gotten an answer from DSS.																X															
					I applied for SNAP but was turned down.																X															
					I have another problem with my SNAP application.																X															
				DSS has cut off my SNAP benefits.																	X															
			I have another problem related to SNAP.																		X															
		I need help with cash assistance, such as TFA, State Supplement, or SAGA.	I need help with TFA (Temporary Family Assistance).	I get TFA now.	DSS says they overpaid me and I owe them money.																X							x 								
					I have a problem with my EBT card.																X															
					I want to apply for an extension.																X															
					I am getting TFA but I am not getting as much as I think I should.																X															
					DSS has lowered or stopped my TFA benefits.																X															
				I do not get TFA now.	I need information about TFA.																X															
					I've applied but haven't gotten an answer from the Department of Social Services (DSS).																X															
					I applied for TFA but was turned down.																X															
				I have a different problem with TFA.																	X															
			I need help with the State Supplement (Aid to the Aged, Blind and Disabled, or AABD).	I get AABD now.	They told me my benefits are being lowered.																X															
					I am being charged with an overpayment.																X															
					I am not getting as much as I think I should.																X															
					I need help with something else related to AABD.																X															
				I do not get AABD now.	I need information about AABD.																X															
					I've applied but haven't heard back.																X															
					I applied for AABD but was turned down.																X															
				I have another problem with AABD.																	X															
			I need help with W-2 (State Administered General Assistance).	I get SAGA now.	They told me my benefits are being lowered.																X															
					I am being charged with an overpayment.																X															
					I'm not getting as much as I think I should.																X															
					I need help with something else related to SAGA.																X															
				I do not get SAGA now.	I want to know more about SAGA.																X															
					I want to know if I can get SAGA.																X															
					I've applied but haven't heard back.																X															
					I applied for SAGA but was turned down.																X															
				I have another problem with SAGA.																	X															
		I need help with Health Insurance (Medicaid/Title 19, BadgerCare).	My child or I get Medicaid or BadgerCare now.	I have Medicaid but have been denied a medical service, equipment, or medication that I need.											x						X															
				I have questions about my coverage.											x						X															
				I have questions about my spend-down.											x						X															
				I have another problem with getting medical services through Medicaid.											x						X															
