Main Category	Sub Category	Sub Category	Sub Category	Sub Category	Sub Category	AIDS Resource Center	Bankruptcy Pro se Clinic for Chapter 7 only	Catholic Charities	Center for Drivers License Recovery	Centro Legal	Civitas	Civil Appeals Help Desk	Disability Rights WI	Dry Hooch brief legal advice for Veterans	ELCA Outreach Center (Kenosha)	Federal pro se civil help line	Free Legal Answers	Kids Matter	Lagmann	Legal Action of WI	Legal Aid Society of MKE	MBA LRIS	Metro Milwaukee Foreclosure Mediation Program	Milwaukee Justice Center Family Forms Clinic	Milwaukee Justice Cener Family Law Advice Clinic	Milwaukee Justice Center Parenting Conference	Marquette Volunteer Legal Clinics	Marquette Volunteer Legal Clinic Estate Planning Clinic	Marquette Legal Initiative for Nonprofit Corporations 	Nonprofit Legal Services of SE WI	Public Defener’s Office	Sojourner Family Peace Center	Unemployment Insurance Clinic	Waukesha Bar Referral LRIS	WisBar LRIS
House & Apartment	I rent my house or apartment.	I need help with rental assistance, such as Section 8.				x														X															
		My landlord is in or was in foreclosure. My problem has to do with foreclosure.				x   														X							x								
		I am being evicted or I was locked out.	My landlord locked me out.			x											x			X							x								
			The landlord told me in person or over the phone that they want me to move out.			x											x			X							x								
			I got a written notice from the landlord telling me to move out. (Notice to Quit)			x											x			X							x								
			I got papers from the court setting a date and time for a court hearing.			x											x			x							x								
		I have a problem with my landlord or the place I rent.	My landlord raised my rent.			x											x			x							x								
			I have a problem with utilities (electric, heat, natural gas, phone).			x											x			x							x								
			My housing is unsafe or unhealthy (no heat, leaking roof, dangerous electrical).			x											x			x							x								
			I am disabled and need a reasonable accomodation.			x							X				x			x															
		I have another problem with my housing.				x											x			x							x								
	I own a house or want to buy one.	The bank is threatening to foreclose on my home.	I am still living in my home.	I got court papers saying that the bank is foreclosing.													x			x							x								
				I got notices from the bank but not court papers.													x			x							x								
				The bank has not yet contacted me, but I am behind on my payments or about to fall behind.													x			x							x								
			I abandoned my home because I'm worried about foreclosure or because I can't afford to live there.														x			x							x								
			The home is my second home, not my primary residence.																	x															
			I have another problem related to foreclosure.														x			x							x								
		I'm having trouble with property taxes, utilities or condo fees.	I have a problem with utilities (electric, heat, natural gas, phone).																	x							x								
			I have a problem with my property taxes.	I don't think the amount is right.																							x								
				My property taxes are due soon or past due.																							x								
				They are putting a lien on my property.																x							x								
				I need a reduction in my property tax from the town/city because I can't pay.	I want to apply for a tax reduction (abatement).																						x								
					I applied for a tax abatement but was turned down or have a problem with it.																						x								
				I need to lower my property taxes for another reason.																							x								
			I am having trouble with my condo association.																								x								
		I have a problem with my neighbors.																																	
		I need help buying a house or condo.	I think a seller or lender is discriminating against me.														x										x								
			I need financial help.																								x								
			I want to know how to buy a house.																								x								
			I have another legal problem with buying a home or getting a loan.																								x								
		I have a different home ownership issue.	I live in a mobile home.	I have a problem with the person who owns the park or the land.													x			x							x								
				My lender is threatening to reposess my mobile home.													x			x							x								
				I live in a mobile home park and my landlord is shutting down the park.																x							x								
				I live in a mobile home park and there are bad park conditions.		x											x			x							x								
				I have another legal problem related to my mobile home.													x			x							x								
			I am having trouble with a tenant.	I want to evict a tenant.													x										x								
				My tenant has damaged my property.													x										x								
				My tenant wants special accommodations.													x										x								
			I have different problem with my housing.														x			x							x								
	I live somewhere else or am homeless.	I live in long-term care and I am having problems with it.				x							X							x															
		I live in a mobile home park.																		x							x								
		I live in a group home.	They are threatening to kick me out.			x							X							x															
			What group homes are available in Wisconsin																																
		I am homeless or live in a shelter.	I need to find a place to live			x																													
			I need help with getting rental assistance.			x																													
			I need help getting the money for a security deposit.			x																													
			A homeless shelter is threatening to kick me out.			x																													
			I need help with child care and expenses related to getting a job.																																
		I live in a hotel or temporary housing.				x																													
	I have a general housing question or problem.	I have a problem with utilities (electric, heat, natural gas, phone).	I can't pay my electric, oil, or gas bill.																																
			I can't pay my phone bill.																																
			I have a complaint about a utility company.																								x								
			My landlord shut off some or all of my utilities.			x														x							x								
			I need money for a new heating system.																																
		I have a problem with a former landlord.	My landlord won't return my security deposit.			x											x			x							x								
			My landlord won't give back my personal belongings (such as clothing, furniture, TV).			x											x			x							x								
			My former landlord is suing me for unpaid rent or damages.			x											x			x							x								
		I need help with rental assistance such as Section 8, RAP, or a security deposit.	I need help getting the money for a security deposit.			x																													
			I want to apply for rental assistance.			x																													
			I applied for rental assistance (such as Section 8 or RAP) but was denied.			x														x															
			I'm having a problem with my rental assistance, such as termination, overpayment, a payment plan, or recalculation.			x														x															
		I am a veteran and want to learn more about my rights and options.															x			x							x								
		I have a disability and want to learn about my rights and options.				x							X				x			x							 								
		I have another housing problem.				x											x			x							x								
