Main Category	Sub Category	Sub Category	Sub Category	Sub Category	AIDS Resource Center	Bankruptcy Pro se Clinic for Chapter 7 only	Catholic Charities	Center for Drivers License Recovery	Centro Legal	Civitas	Civil Appeals Help Desk	Disability Rights WI	Dry Hooch brief legal advice for Veterans	ELCA Outreach Center (Kenosha)	Federal pro se civil help line	Free Legal Answers	Kids Matter	Lagmann	Legal Action of WI	Legal Aid Society of MKE	MBA LRIS	Metro Milwaukee Foreclosure Mediation Program	Milwaukee Justice Center Family Forms Clinic	Milwaukee Justice Cener Family Law Advice Clinic	Milwaukee Justice Center Parenting Conference	Marquette Volunteer Legal Clinics	Marquette Volunteer Legal Clinic Estate Planning Clinic	Marquette Legal Initiative for Nonprofit Corporations 	Nonprofit Legal Services of SE WI	Public Defener’s Office	Sojourner Family Peace Center	Unemployment Insurance Clinic	Waukesha Bar Referral LRIS	WisBar LRIS
Money & Debt	I need information about bankruptcy.	I want to know if bankruptcy is right for me.														x			x							x								
		I want to file for bankruptcy.																	x															
	I have a problem with my utilities (electric, heat, gas, phone).																																	
	I have a problem with credit ormoney that I owe.	I have debt that I can’t pay.	I contacted the person or company that I owe the money to but we could not come to an agreement.																x							x								
			I have NOT contacted the person or company that I owe the money to.																							x								
		I can't pay my mortgage.																	x							x								
		Medicare, Medicaid, or DSS says I owe money for overpayments or for services that weren't covered.										X							x							x								
		I have bad credit.	I want to get a copy of my credit report.		x											x										x								
			I want to know how to fix mistakes on my credit report.		x											x			x							x								
			I want to improve my credit.																							x								
			Someone else messed up my credit.	Someone else hasn't paid bills that are in both of our names.															x							x								
				Someone used my name and other personal information to get credit or to buy things.	x							X							x							x								
		I have a problem with a debt collector.	My car or other property is being repossessed (taken by the bank or company that loaned me the money to buy it).													x			x							x								
			I am getting collection calls and/or letters from a creditor and I cannot pay the debt.		x											x			x							x								
			A creditor has taken my property or some of my income because I cannot pay a debt.													x			x							x								
		I have been sued by a person or company who says I owe them money.	I don't think I owe this debt.													x			x							x								
			I need help defending myself in court.																x							x								
		I need help managing my bills.																	x															
	I have a problem with my taxes	I am having a problem with the taxes on my home or land.																	x							x								
		I am having a problem with the IRS (federal income taxes).	I need help filing my income taxes.																															
			I have already filed my taxes or have a problem with the IRS.																x							x								
		I have a problem with my Wisconsin state taxes.																	x															
		I need information about or help with the Earned Income Tax Credit.																	x															
		I have a different tax problem.	I have a problem with taxes on my vehicle.																x							x								
			My wages are being garnished because I owe taxes.																x							x								
			I have questions about probate taxes.													x			x							x								
			I have another kind of tax problem.																x							x								
	I have a different problem with money or debt collection.	Someone owes me money and I want to collect it.														x										x								
		I have questions or problems with identity theft.	I want to know how to protect myself from identity theft.																															
			I am a victim of identity theft.		x														x							x								
			Someone else got money using my name.																x							x								
		I bought something and it doesn't work or is defective.	I bought it from a person.	I contacted the seller but we could not come to an agreement.												x			x							x								
				I have not contacted the seller.															x							x								
			I bought it from a business.	I contacted the business but we couldn't come to an agreement.												x			x							x								
				I have not contacted the business.															x							x								
